sex herdyear abattoir classifier herd age ageQuadrat yearsaison breedcomb prodsystem calfcull controlcull ageVK slaughterCategory branding cccn ccco ccan ccas ccao ccvn ccvo cwcn cwco cwan cwas cwao cwvn cwvo cfcn cfco cfan cfas cfao cfvn cfvo cacn caco caan caas caao cavn cavo ind Effekt_HeterosisSumHet Effekt_RekombinationSumRec
3 1 3 9 2 315 99225 4 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.26 0 0 0 0 0 0 3 0 0 0 0 0 0 3.15 0 0 0 0 CH120006354005 4 4
3 1 3 9 2 306 93636 4 3 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.26 0 0 0 0 0 0 3 0 0 0 0 0 0 3.06 0 0 0 0 CH120006354012 6 4
3 1 3 6 2 313 97969 1 8 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.67 0 0 0 0 0 0 3 0 0 0 0 0 0 3.13 0 0 0 0 CH120006354029 3 4
2 1 3 7 2 329 108241 1 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.51 0 0 0 0 0 0 4 0 0 0 0 0 0 3.29 0 0 0 0 CH120006354050 4 3
3 1 3 7 2 327 106929 1 3 1 0 0 0 RG conventional 0 0 0 0 6 0 0 0 0 0 0 2.32 0 0 0 0 0 0 4 0 0 0 0 0 0 3.27 0 0 CH120006354067 6 3
2 1 3 8 2 160 25600 4 5 3 0 0 0 KV 1 6 0 0 0 0 0 0 1.38 0 0 0 0 0 0 1 0 0 0 0 0 0 1.60 0 0 0 0 0 0 CH120006354081 6 2
2 1 3 8 2 158 24964 4 6 3 0 0 0 KV 1 7 0 0 0 0 0 0 1.44 0 0 0 0 0 0 2 0 0 0 0 0 0 1.58 0 0 0 0 0 0 CH120006354098 6 2
3 1 3 7 2 284 80656 1 5 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 2.25 0 0 0 0 0 0 4 0 0 0 0 0 0 2.84 0 0 0 0 CH120006354104 6 2
2 1 3 10 2 283 80089 2 2 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.77 0 0 0 0 0 0 3 0 0 0 0 0 0 2.83 0 0 0 0 CH120006354142 4 2
3 1 3 5 2 309 95481 2 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.41 0 0 0 0 0 0 3 0 0 0 0 0 0 3.09 0 0 0 0 CH120006354159 4 5
2 1 3 5 2 307 94249 2 6 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.47 0 0 0 0 0 0 4 0 0 0 0 0 0 3.07 0 0 0 0 CH120006354166 6 2
2 1 3 5 2 305 93025 2 2 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.39 0 0 0 0 0 0 4 0 0 0 0 0 0 3.05 0 0 0 0 CH120006354173 4 4
3 1 3 6 2 148 21904 1 5 3 0 0 0 KV 1 6 0 0 0 0 0 0 1.27 0 0 0 0 0 0 3 0 0 0 0 0 0 1.48 0 0 0 0 0 0 CH120006354180 6 2
3 1 3 11 2 332 110224 3 7 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.06 0 0 0 0 0 0 3 0 0 0 0 0 0 3.32 0 0 0 0 CH120006354197 6 4
1 1 3 11 2 307 94249 3 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.62 0 0 0 0 0 0 3 0 0 0 0 0 0 3.07 0 0 0 0 CH120006354203 4 4
2 1 3 11 2 303 91809 3 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.30 0 0 0 0 0 0 3 0 0 0 0 0 0 3.03 0 0 0 0 CH120006354210 4 5
2 1 3 11 2 321 103041 4 3 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.31 0 0 0 0 0 0 2 0 0 0 0 0 0 3.21 0 0 0 0 CH120006354227 4 5
3 1 3 11 2 333 110889 4 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.15 0 0 0 0 0 0 3 0 0 0 0 0 0 3.33 0 0 0 0 CH120006354258 4 4
3 2 1 12 3 178 31684 4 9 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 1.21 0 0 0 0 0 0 4 0 0 0 0 0 0 1.78 0 0 0 0 0 CH120007090001 3 4
1 2 3 10 4 460 211600 3 10 1 0 0 0 MT conventional 0 0 0 0 4 0 0 0 0 0 0 2.84 0 0 0 0 0 0 3 0 0 0 0 0 0 4.60 0 0 CH120008095616 5 5
1 3 2 3 5 122 14884 3 11 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 0.98 0 0 0 0 0 0 3 0 0 0 0 0 0 1.22 0 0 0 0 0 CH120017311400 4 4
1 1 4 13 1 167 27889 1 12 1 0 0 0 KV conventional 0 6 0 0 0 0 0 0 1.35 0 0 0 0 0 0 2 0 0 0 0 0 0 1.67 0 0 0 0 0 CH120017311431 2 3
3 4 3 14 6 704 495616 4 2 4 0 0 0 RG 3 0 0 0 7 0 0 0 0 0 0 3.06 0 0 0 0 0 0 3 0 0 0 0 0 0 7.04 0 0 0 CH120022532289 4 4
3 4 3 14 6 704 495616 4 2 4 0 0 0 RG 3 0 0 0 7 0 0 0 0 0 0 2.90 0 0 0 0 0 0 3 0 0 0 0 0 0 7.04 0 0 0 CH120022532296 4 4
1 3 5 2 6 431 185761 2 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.55 0 0 0 0 0 0 3 0 0 0 0 0 0 4.31 0 0 0 CH120022532364 2 2
1 3 5 15 6 494 244036 1 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.84 0 0 0 0 0 0 2 0 0 0 0 0 0 4.94 0 0 0 CH120022532371 2 2
1 3 5 7 6 516 266256 2 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.75 0 0 0 0 0 0 2 0 0 0 0 0 0 5.16 0 0 0 CH120022532685 1 1
1 3 4 9 6 466 217156 1 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.52 0 0 0 0 0 0 3 0 0 0 0 0 0 4.66 0 0 0 CH120022532692 3 3
1 3 4 9 6 485 235225 1 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.63 0 0 0 0 0 0 3 0 0 0 0 0 0 4.85 0 0 0 CH120022532708 2 3
1 4 5 16 6 452 204304 4 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.74 0 0 0 0 0 0 3 0 0 0 0 0 0 4.52 0 0 0 CH120022532722 2 2
1 4 5 10 6 427 182329 4 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.63 0 0 0 0 0 0 2 0 0 0 0 0 0 4.27 0 0 0 CH120022532739 3 2
1 3 4 9 6 499 249001 1 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.64 0 0 0 0 0 0 3 0 0 0 0 0 0 4.99 0 0 0 CH120022532746 1 1
1 4 5 10 6 364 132496 2 2 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.25 0 0 0 0 0 0 2 0 0 0 0 0 0 3.64 0 0 0 CH120022532760 4 2
1 4 5 10 6 471 221841 2 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.47 0 0 0 0 0 0 3 0 0 0 0 0 0 4.71 0 0 0 CH120022532777 2 2
1 4 5 10 6 476 226576 2 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.37 0 0 0 0 0 0 2 0 0 0 0 0 0 4.76 0 0 0 CH120022532784 3 3
1 4 5 10 6 483 233289 2 8 4 0 0 0 MT 3 0 0 0 7 0 0 0 0 0 0 3.38 0 0 0 0 0 0 2 0 0 0 0 0 0 4.83 0 0 0 CH120022532791 2 2
1 4 5 10 6 506 256036 2 8 4 0 0 0 MT 3 0 0 0 6 0 0 0 0 0 0 3.11 0 0 0 0 0 0 3 0 0 0 0 0 0 5.06 0 0 0 CH120022532814 3 2
1 5 3 10 7 354 125316 4 13 1 0 0 0 OB conventional 0 0 0 0 4 0 0 0 0 0 0 2.46 0 0 0 0 0 0 3 0 0 0 0 0 0 3.54 0 0 CH120025680956 6 3
1 4 3 17 7 375 140625 1 13 1 0 0 0 OB conventional 0 0 0 0 5 0 0 0 0 0 0 2.66 0 0 0 0 0 0 4 0 0 0 0 0 0 3.75 0 0 CH120025680987 6 2
1 2 4 13 8 361 130321 3 14 1 0 0 0 MT conventional 0 0 0 0 7 0 0 0 0 0 0 2.91 0 0 0 0 0 0 2 0 0 0 0 0 0 3.61 0 0 CH120026513697 6 3
1 6 3 8 9 432 186624 2 15 1 0 0 0 MT conventional 0 0 0 0 5 0 0 0 0 0 0 3.29 0 0 0 0 0 0 3 0 0 0 0 0 0 4.32 0 0 CH120029009272 6 2
3 7 3 6 10 323 104329 2 5 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 2.10 0 0 0 0 0 0 4 0 0 0 0 0 0 3.23 0 0 0 0 CH120029350121 6 2
2 7 3 17 10 311 96721 2 5 2 0 0 0 OB 2 0 0 5 0 0 0 0 0 0 2.06 0 0 0 0 0 0 2 0 0 0 0 0 0 3.11 0 0 0 0 CH120029350138 6 2
2 7 3 17 10 309 95481 2 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.04 0 0 0 0 0 0 3 0 0 0 0 0 0 3.09 0 0 0 0 CH120029350145 6 2
3 7 3 17 10 309 95481 2 5 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 1.56 0 0 0 0 0 0 2 0 0 0 0 0 0 3.09 0 0 0 0 CH120029350152 6 2
2 7 3 8 10 308 94864 3 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.44 0 0 0 0 0 0 3 0 0 0 0 0 0 3.08 0 0 0 0 CH120029350169 6 2
2 7 3 17 10 314 98596 4 5 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.32 0 0 0 0 0 0 3 0 0 0 0 0 0 3.14 0 0 0 0 CH120029350176 6 2
2 7 3 18 10 115 13225 2 6 3 0 0 0 KV 1 6 0 0 0 0 0 0 1.39 0 0 0 0 0 0 3 0 0 0 0 0 0 1.15 0 0 0 0 0 0 CH120029350183 6 2
3 7 3 17 10 310 96100 4 2 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.08 0 0 0 0 0 0 3 0 0 0 0 0 0 3.10 0 0 0 0 CH120029350190 4 4
1 5 3 8 10 314 98596 2 12 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.44 0 0 0 0 0 0 3 0 0 0 0 0 0 3.14 0 0 0 0 CH120029350206 2 2
1 5 3 8 10 328 107584 2 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.35 0 0 0 0 0 0 3 0 0 0 0 0 0 3.28 0 0 0 0 CH120029350220 6 2
3 5 3 8 10 328 107584 2 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 1.97 0 0 0 0 0 0 3 0 0 0 0 0 0 3.28 0 0 0 0 CH120029350237 6 2
3 7 3 7 10 307 94249 1 5 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.14 0 0 0 0 0 0 3 0 0 0 0 0 0 3.07 0 0 0 0 CH120029350244 6 2
3 5 3 5 10 321 103041 1 2 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.17 0 0 0 0 0 0 3 0 0 0 0 0 0 3.21 0 0 0 0 CH120029350251 4 4
3 5 3 5 10 319 101761 1 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.20 0 0 0 0 0 0 3 0 0 0 0 0 0 3.19 0 0 0 0 CH120029350268 4 5
3 5 3 5 10 318 101124 1 5 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.19 0 0 0 0 0 0 3 0 0 0 0 0 0 3.18 0 0 0 0 CH120029350275 6 2
2 5 3 5 10 309 95481 1 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 1.99 0 0 0 0 0 0 3 0 0 0 0 0 0 3.09 0 0 0 0 CH120029350299 6 2
3 5 3 10 10 313 97969 1 2 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 2.25 0 0 0 0 0 0 3 0 0 0 0 0 0 3.13 0 0 0 0 CH120029350305 4 4
2 5 3 9 10 332 110224 3 5 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.79 0 0 0 0 0 0 3 0 0 0 0 0 0 3.32 0 0 0 0 CH120029350312 6 2
3 5 3 11 10 328 107584 3 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.54 0 0 0 0 0 0 3 0 0 0 0 0 0 3.28 0 0 0 0 CH120029350329 4 4
3 5 3 11 10 326 106276 3 5 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 2.38 0 0 0 0 0 0 4 0 0 0 0 0 0 3.26 0 0 0 0 CH120029350336 6 2
3 5 3 11 10 319 101761 3 16 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 1.84 0 0 0 0 0 0 3 0 0 0 0 0 0 3.19 0 0 0 0 CH120029350343 1 1
2 2 3 11 10 308 94864 1 5 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.39 0 0 0 0 0 0 3 0 0 0 0 0 0 3.08 0 0 0 0 CH120029350404 6 2
2 2 3 17 10 322 103684 1 2 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.67 0 0 0 0 0 0 2 0 0 0 0 0 0 3.22 0 0 0 0 CH120029350411 4 2
3 2 3 17 10 312 97344 1 5 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 1.89 0 0 0 0 0 0 3 0 0 0 0 0 0 3.12 0 0 0 0 CH120029350428 6 2
2 2 3 11 10 318 101124 1 2 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.72 0 0 0 0 0 0 3 0 0 0 0 0 0 3.18 0 0 0 0 CH120029350435 4 4
3 2 3 11 10 333 110889 2 5 2 0 0 0 RG 2 0 0 6 0 0 0 0 0 0 1.71 0 0 0 0 0 0 2 0 0 0 0 0 0 3.33 0 0 0 0 CH120029350442 6 2
3 2 3 11 10 331 109561 2 5 2 0 0 0 RG 2 0 0 5 0 0 0 0 0 0 2.48 0 0 0 0 0 0 3 0 0 0 0 0 0 3.31 0 0 0 0 CH120029350459 6 2
3 2 3 11 10 324 104976 2 2 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.24 0 0 0 0 0 0 3 0 0 0 0 0 0 3.24 0 0 0 0 CH120029350466 4 5
3 2 3 11 10 331 109561 2 17 2 0 0 0 RG 2 0 0 7 0 0 0 0 0 0 2.06 0 0 0 0 0 0 3 0 0 0 0 0 0 3.31 0 0 0 0 CH120029350473 6 2
2 2 3 11 10 310 96100 2 2 2 0 0 0 OB 2 0 0 7 0 0 0 0 0 0 2.48 0 0 0 0 0 0 3 0 0 0 0 0 0 3.10 0 0 0 0 CH120029350480 4 4
1 8 2 12 11 170 28900 3 1 1 0 0 0 KV conventional 0 2 0 0 0 0 0 0 1.48 0 0 0 0 0 0 3 0 0 0 0 0 0 1.70 0 0 0 0 0 CH120029724052 2 2
1 9 6 1 12 127 16129 3 3 1 0 0 0 KV conventional 0 7 0 0 0 0 0 0 1.26 0 0 0 0 0 0 3 0 0 0 0 0 0 1.27 0 0 0 0 0 CH120029905628 6 4
3 6 6 19 12 102 10404 3 3 1 0 0 0 KV conventional 0 7 0 0 0 0 0 0 1.11 0 0 0 0 0 0 3 0 0 0 0 0 0 1.02 0 0 0 0 0 CH120029905666 6 3
3 6 6 19 12 101 10201 3 3 1 0 0 0 KV conventional 0 7 0 0 0 0 0 0 1.14 0 0 0 0 0 0 3 0 0 0 0 0 0 1.01 0 0 0 0 0 CH120029905673 6 3
1 6 6 12 12 138 19044 4 3 1 0 0 0 KV conventional 0 7 0 0 0 0 0 0 1.30 0 0 0 0 0 0 3 0 0 0 0 0 0 1.38 0 0 0 0 0 CH120029905703 6 4
1 6 6 12 12 134 17956 4 18 1 0 0 0 KV conventional 0 5 0 0 0 0 0 0 1.43 0 0 0 0 0 0 3 0 0 0 0 0 0 1.34 0 0 0 0 0 CH120029905727 4 4
1 1 3 20 1 158 24964 1 1 1 0 0 0 KV conventional 0 3 0 0 0 0 0 0 1.34 0 0 0 0 0 0 3 0 0 0 0 0 0 1.58 0 0 0 0 0 CH120030593555 2 2
1 3 1 3 13 401 160801 1 11 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 2.90 0 0 0 0 0 0 3 0 0 0 0 0 0 4.01 0 0 CH120033779390 3 4
1 3 3 21 14 341 116281 2 3 2 0 0 0 OB 2 0 0 6 0 0 0 0 0 0 2.34 0 0 0 0 0 0 3 0 0 0 0 0 0 3.41 0 0 0 0 CH120034114343 6 3
1 10 1 19 15 138 19044 1 9 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 1.31 0 0 0 0 0 0 3 0 0 0 0 0 0 1.38 0 0 0 0 0 CH120035524929 2 2
1 10 1 19 15 161 25921 2 9 1 0 0 0 KV conventional 0 3 0 0 0 0 0 0 1.17 0 0 0 0 0 0 2 0 0 0 0 0 0 1.61 0 0 0 0 0 CH120035524936 2 3
3 10 1 19 15 153 23409 2 3 1 0 0 0 KV conventional 0 7 0 0 0 0 0 0 1.25 0 0 0 0 0 0 3 0 0 0 0 0 0 1.53 0 0 0 0 0 CH120035524967 6 3
1 7 3 6 16 309 95481 2 19 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 2.58 0 0 0 0 0 0 3 0 0 0 0 0 0 3.09 0 0 CH120035583841 6 2
3 11 1 1 17 173 29929 4 9 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 1.10 0 0 0 0 0 0 2 0 0 0 0 0 0 1.73 0 0 0 0 0 CH120035818462 2 2
1 12 6 12 18 159 25281 1 9 1 0 0 0 KV conventional 0 3 0 0 0 0 0 0 1.13 0 0 0 0 0 0 2 0 0 0 0 0 0 1.59 0 0 0 0 0 CH120037039391 2 2
1 12 6 12 18 159 25281 1 9 1 0 0 0 KV conventional 0 2 0 0 0 0 0 0 1.04 0 0 0 0 0 0 1 0 0 0 0 0 0 1.59 0 0 0 0 0 CH120037039407 2 3
1 12 6 1 18 130 16900 1 9 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 1.33 0 0 0 0 0 0 3 0 0 0 0 0 0 1.30 0 0 0 0 0 CH120037039421 2 3
1 12 6 12 18 153 23409 1 9 1 0 0 0 KV conventional 0 1 0 0 0 0 0 0 0.95 0 0 0 0 0 0 1 0 0 0 0 0 0 1.53 0 0 0 0 0 CH120037039438 2 3
1 12 6 1 18 140 19600 1 9 1 0 0 0 KV conventional 0 5 0 0 0 0 0 0 1.34 0 0 0 0 0 0 3 0 0 0 0 0 0 1.40 0 0 0 0 0 CH120037039445 2 3
1 12 6 12 18 152 23104 1 9 1 0 0 0 KV conventional 0 3 0 0 0 0 0 0 1.06 0 0 0 0 0 0 2 0 0 0 0 0 0 1.52 0 0 0 0 0 CH120037039452 2 3
1 8 4 22 1 154 23716 1 1 1 0 0 0 KV conventional 0 2 0 0 0 0 0 0 1.17 0 0 0 0 0 0 3 0 0 0 0 0 0 1.54 0 0 0 0 0 CH120038650007 2 2
3 5 3 4 7 373 139129 2 12 1 0 0 0 RG conventional 0 0 0 0 6 0 0 0 0 0 0 2.34 0 0 0 0 0 0 4 0 0 0 0 0 0 3.73 0 0 CH120039520248 1 1
3 5 3 8 7 282 79524 3 12 1 0 0 0 RG conventional 0 0 0 0 5 0 0 0 0 0 0 1.93 0 0 0 0 0 0 4 0 0 0 0 0 0 2.82 0 0 CH120039520279 1 1
3 5 3 10 7 360 129600 4 20 1 0 0 0 RG conventional 0 0 0 0 5 0 0 0 0 0 0 2.58 0 0 0 0 0 0 4 0 0 0 0 0 0 3.60 0 0 CH120039520286 6 2
1 5 3 8 7 258 66564 3 13 1 0 0 0 OB conventional 0 0 0 0 5 0 0 0 0 0 0 2.37 0 0 0 0 0 0 3 0 0 0 0 0 0 2.58 0 0 CH120039520293 6 2
3 5 3 10 7 325 105625 4 11 1 0 0 0 RG conventional 0 0 0 0 5 0 0 0 0 0 0 2.29 0 0 0 0 0 0 4 0 0 0 0 0 0 3.25 0 0 CH120039520323 3 4
1 9 1 1 19 403 162409 1 12 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 3.01 0 0 0 0 0 0 2 0 0 0 0 0 0 4.03 0 0 CH120039859751 1 1
1 13 1 12 20 380 144400 3 21 1 0 0 0 MT conventional 0 0 0 0 4 0 0 0 0 0 0 2.83 0 0 0 0 0 0 3 0 0 0 0 0 0 3.80 0 0 CH120040037476 6 2
1 4 2 19 9 382 145924 3 22 1 0 0 0 MT conventional 0 0 0 0 4 0 0 0 0 0 0 2.60 0 0 0 0 0 0 2 0 0 0 0 0 0 3.82 0 0 CH120040567591 2 2
1 4 4 4 8 428 183184 2 10 1 0 0 0 MT conventional 0 0 0 0 4 0 0 0 0 0 0 3.03 0 0 0 0 0 0 3 0 0 0 0 0 0 4.28 0 0 CH120041362393 3 5
1 4 4 6 8 445 198025 2 10 1 0 0 0 MT conventional 0 0 0 0 5 0 0 0 0 0 0 3.35 0 0 0 0 0 0 3 0 0 0 0 0 0 4.45 0 0 CH120041362508 5 6
1 14 4 23 21 408 166464 1 11 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 3.00 0 0 0 0 0 0 3 0 0 0 0 0 0 4.08 0 0 CH120042756887 3 3
1 10 7 11 5 151 22801 3 11 1 0 0 0 KV conventional 0 5 0 0 0 0 0 0 1.21 0 0 0 0 0 0 2 0 0 0 0 0 0 1.51 0 0 0 0 0 CH120043479822 3 4
1 15 1 1 22 446 198916 2 3 1 0 0 0 MT conventional 0 0 0 0 7 0 0 0 0 0 0 3.05 0 0 0 0 0 0 3 0 0 0 0 0 0 4.46 0 0 CH120044221086 6 4
1 11 3 13 23 417 173889 4 3 1 0 0 0 MT conventional 0 0 0 0 7 0 0 0 0 0 0 3.31 0 0 0 0 0 0 3 0 0 0 0 0 0 4.17 0 0 CH120044221291 6 4
1 11 1 12 23 424 179776 4 3 1 0 0 0 MT conventional 0 0 0 0 7 0 0 0 0 0 0 3.29 0 0 0 0 0 0 2 0 0 0 0 0 0 4.24 0 0 CH120044221307 6 3
1 5 1 3 24 412 169744 4 23 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 3.25 0 0 0 0 0 0 3 0 0 0 0 0 0 4.12 0 0 CH120044565319 6 2
1 12 4 13 21 353 124609 4 3 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 3.02 0 0 0 0 0 0 4 0 0 0 0 0 0 3.53 0 0 CH120045517423 6 2
1 6 3 8 9 442 195364 2 7 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 3.17 0 0 0 0 0 0 2 0 0 0 0 0 0 4.42 0 0 CH120045536981 6 4
1 16 3 2 25 396 156816 1 22 2 0 0 0 OB 2 0 0 4 0 0 0 0 0 0 1.60 0 0 0 0 0 0 1 0 0 0 0 0 0 3.96 0 0 0 0 CH120047714189 2 2
1 13 1 1 26 423 178929 1 3 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 2.83 0 0 0 0 0 0 3 0 0 0 0 0 0 4.23 0 0 CH120047804101 6 4
1 7 3 10 16 298 88804 3 8 1 0 0 0 MT conventional 0 0 0 0 7 0 0 0 0 0 0 2.62 0 0 0 0 0 0 3 0 0 0 0 0 0 2.98 0 0 CH120047804200 4 4
